k,F_measure,precision,recall
1,0.4897435897435897,0.5026315789473684,0.4775
2,0.3213675213675214,0.5081081081081081,0.235
3,0.4986666666666667,0.5342857142857143,0.4675
4,0.4113029827315542,0.5527426160337553,0.3275
5,0.518041237113402,0.5345744680851063,0.5025
6,0.41910631741140225,0.5461847389558233,0.34
7,0.5221932114882506,0.546448087431694,0.5
8,0.4309559939301973,0.5482625482625483,0.355
9,0.5130890052356021,0.5384615384615384,0.49
10,0.456973293768546,0.5620437956204379,0.385
11,0.5303430079155672,0.5614525139664804,0.5025
12,0.46607669616519176,0.5683453237410072,0.395
13,0.5286458333333333,0.5516304347826086,0.5075
14,0.4833574529667149,0.5738831615120275,0.4175
15,0.5139072847682119,0.5464788732394367,0.485
16,0.48850574712643674,0.5743243243243243,0.425
17,0.5399737876802098,0.5674931129476584,0.515
18,0.5028571428571429,0.5866666666666667,0.44
19,0.544980443285528,0.5694822888283378,0.5225
20,0.5187239944521498,0.5825545171339563,0.4675
21,0.5516339869281045,0.5780821917808219,0.5275
22,0.4936530324400564,0.5663430420711975,0.4375
23,0.5246338215712384,0.5612535612535613,0.4925
24,0.5120226308345122,0.5895765472312704,0.4525
25,0.5352862849533954,0.5726495726495726,0.5025
26,0.5042492917847026,0.5816993464052288,0.445
27,0.540612516644474,0.5783475783475783,0.5075
28,0.5228571428571429,0.61,0.4575
29,0.5432756324900133,0.5811965811965812,0.51
30,0.5120910384068279,0.594059405940594,0.45
31,0.5376344086021505,0.5813953488372093,0.5
32,0.5092460881934566,0.5907590759075908,0.4475
33,0.5548216644649934,0.5882352941176471,0.525
34,0.5260196905766527,0.6012861736334405,0.4675
35,0.5521796565389696,0.5854341736694678,0.5225
36,0.5189340813464236,0.5910543130990416,0.4625
37,0.5534759358288771,0.5948275862068966,0.5175
38,0.5246826516220028,0.6019417475728155,0.465
39,0.5471698113207548,0.5935672514619883,0.5075
40,0.5156695156695157,0.5993377483443708,0.4525
41,0.5398110661268557,0.5865102639296188,0.5
42,0.5156695156695157,0.5993377483443708,0.4525
43,0.5449664429530201,0.5884057971014492,0.5075
44,0.5106382978723405,0.5901639344262295,0.45
45,0.5317139001349528,0.5777126099706745,0.4925
46,0.5085714285714286,0.5933333333333334,0.445
47,0.5322580645161291,0.5755813953488372,0.495
48,0.5147679324894514,0.5884244372990354,0.4575
49,0.5271739130434782,0.5773809523809523,0.485
50,0.4943181818181818,0.5723684210526315,0.435
51,0.5128900949796472,0.5608308605341247,0.4725
52,0.4736091298145506,0.5514950166112956,0.415
53,0.508108108108108,0.5529411764705883,0.47
54,0.492176386913229,0.570957095709571,0.4325
55,0.508108108108108,0.5529411764705883,0.47
56,0.5007072135785007,0.5765472312703583,0.4425
57,0.5148247978436659,0.5584795321637427,0.4775
58,0.492176386913229,0.570957095709571,0.4325
59,0.5202156334231807,0.564327485380117,0.4825
60,0.5105782792665725,0.5857605177993528,0.4525
61,0.5261744966442954,0.5681159420289855,0.49
62,0.5014005602240896,0.5700636942675159,0.4475
63,0.5208053691275168,0.5623188405797102,0.485
64,0.5041782729805016,0.5691823899371069,0.4525
65,0.5223274695534507,0.5693215339233039,0.4825
66,0.5077138849929873,0.5782747603833865,0.4525
67,0.5217391304347826,0.5714285714285714,0.48
68,0.5049088359046283,0.5750798722044729,0.45
69,0.5204359673024523,0.5718562874251497,0.4775
70,0.5028571428571429,0.5866666666666667,0.44
71,0.5170998632010945,0.5709969788519638,0.4725
72,0.49710982658959535,0.589041095890411,0.43
73,0.5240054869684498,0.5805471124620061,0.4775
74,0.49928673323823103,0.5813953488372093,0.4375
75,0.5294924554183813,0.5866261398176292,0.4825
76,0.5185185185185185,0.6026490066225165,0.455
77,0.5344352617079889,0.5950920245398773,0.485
78,0.5071633237822349,0.5939597315436241,0.4425
79,0.5247252747252746,0.5823170731707317,0.4775
80,0.5035561877667141,0.5841584158415841,0.4425
81,0.5160390516039052,0.583596214511041,0.4625
82,0.49570200573065903,0.5805369127516778,0.4325
83,0.517193947730399,0.5749235474006116,0.47
84,0.48843930635838156,0.5787671232876712,0.4225
85,0.5027932960893855,0.569620253164557,0.45
86,0.49710982658959535,0.589041095890411,0.43
87,0.5020804438280166,0.5638629283489096,0.4525
88,0.49056603773584906,0.5847750865051903,0.4225
89,0.5132496513249651,0.580441640378549,0.46
90,0.49132947976878616,0.5821917808219178,0.425
91,0.5041551246537397,0.5652173913043478,0.455
92,0.48554913294797686,0.5753424657534246,0.42
93,0.5041782729805016,0.5691823899371069,0.4525
94,0.49137931034482757,0.5777027027027027,0.4275
95,0.5,0.5625,0.45
96,0.47919655667144906,0.5622895622895623,0.4175
97,0.48951048951048953,0.5555555555555556,0.4375
98,0.4848484848484848,0.5733788395904437,0.42
99,0.5006993006993007,0.5682539682539682,0.4475
